title,link,price,area,rooms,year,elevator,parking,storage
"۱۷ قصب هفت باغ دهکده زیتون تجاری مسکونی لب آسفالت۲,۲۶۰,۰۰۰,۰۰۰ تومانپله شدهپله",https://divar.ir/v/%DB%B1%DB%B7-%D9%82%D8%B5%D8%A8-%D9%87%D9%81%D8%AA-%D8%A8%D8%A7%D8%BA-%D8%AF%D9%87%DA%A9%D8%AF%D9%87-%D8%B2%DB%8C%D8%AA%D9%88%D9%86-%D8%AA%D8%AC%D8%A7%D8%B1%DB%8C-%D9%85%D8%B3%DA%A9%D9%88%D9%86%DB%8C-%D9%84%D8%A8-%D8%A2%D8%B3%D9%81%D8%A7%D9%84%D8%AA/Aa-x6ix0,,,,,0,0,0
"فروش و معاوضه 10قصب زمین (زیر قیمت منطقه)۱,۸۳۰,۰۰۰,۰۰۰ تومانپله شدهپله",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%88-%D9%85%D8%B9%D8%A7%D9%88%D8%B6%D9%87-10%D9%82%D8%B5%D8%A8-%D8%B2%D9%85%DB%8C%D9%86-%D8%B2%DB%8C%D8%B1-%D9%82%DB%8C%D9%85%D8%AA-%D9%85%D9%86%D8%B7%D9%82%D9%87/AayB3QGr,,,,,0,0,0
"زمین حصار دار شهرک زیتوت هفت باغ۱,۸۰۰,۰۰۰,۰۰۰ توماندقایقی پیش۳",https://divar.ir/v/%D8%B2%D9%85%DB%8C%D9%86-%D8%AD%D8%B5%D8%A7%D8%B1-%D8%AF%D8%A7%D8%B1-%D8%B4%D9%87%D8%B1%DA%A9-%D8%B2%DB%8C%D8%AA%D9%88%D8%AA-%D9%87%D9%81%D8%AA-%D8%A8%D8%A7%D8%BA/AaJWSEGA,,,,,0,0,0
"فروش خانه ویلایی ۱۵۰ متری شهیدان محمدی۱,۹۳۰,۰۰۰,۰۰۰ توماندقایقی پیش۱",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B1%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%B4%D9%87%DB%8C%D8%AF%D8%A7%D9%86-%D9%85%D8%AD%D9%85%D8%AF%DB%8C/AaJOiU7T,,,,,0,0,0
"فروش آپارتمان۳,۷۰۰,۰۰۰,۰۰۰ توماندقایقی پیش۱",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86/AaJSiEXd,,,,,0,0,0
"فروش زمین ۵۰۰ متری۱,۲۰۰,۰۰۰,۰۰۰ تومانیک ربع پیش۱",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%B2%D9%85%DB%8C%D9%86-%DB%B5%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C/AaJKCCTz,,,,,0,0,0
"فروش ویلایی، ۱۱۵ متر،دو خواب،شهرک ایرانمنش۲۱,۹۰۰,۰۰۰,۰۰۰ تومانیک ربع پیش۵",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B1%DB%B1%DB%B5-%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B4%D9%87%D8%B1%DA%A9-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%D9%85%D9%86%D8%B4%DB%B2/AaJGSI9_,,,,,0,0,0
"فروش واحد ۱۳۵ متری/ بلوار جمهوری/ ۳ خواب۴,۴۵۰,۰۰۰,۰۰۰ توماننیم ساعت پیش۶",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%88%D8%A7%D8%AD%D8%AF-%DB%B1%DB%B3%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C-%DB%B3-%D8%AE%D9%88%D8%A7%D8%A8/AaJ6BccT,,,,,0,0,0
"فروش خانه ویلایی ۲۰۰ متری ۲ خوابه۵,۰۰۰,۰۰۰,۰۰۰ توماننیم ساعت پیش۱",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B2%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87/AaJ2RsXP,,,,,0,0,0
"فروش واحدمسکونی۲,۸۰۰,۰۰۰ توماننیم ساعت پیش۵",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%88%D8%A7%D8%AD%D8%AF%D9%85%D8%B3%DA%A9%D9%88%D9%86%DB%8C/AaJ2hAQ4,,,,,0,0,0
"زمین۷۰۰,۰۰۰,۰۰۰ توماننیم ساعت پیش۲",https://divar.ir/v/%D8%B2%D9%85%DB%8C%D9%86/AaJuBylU,,,,,0,0,0
"ویلایی مستقل 1400۵,۶۰۰,۰۰۰,۰۰۰ توماننیم ساعت پیش۳",https://divar.ir/v/%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%D9%85%D8%B3%D8%AA%D9%82%D9%84-1400/AaJqhfom,,,,,0,0,0
"زمین فروشی بلوار صدوقی جاده تهران خیابان پست رعد۸,۰۰۰,۰۰۰,۰۰۰ توماننردبان شده۳",https://divar.ir/v/%D8%B2%D9%85%DB%8C%D9%86-%D9%81%D8%B1%D9%88%D8%B4%DB%8C-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D8%B5%D8%AF%D9%88%D9%82%DB%8C-%D8%AC%D8%A7%D8%AF%D9%87-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86-%D9%BE%D8%B3%D8%AA-%D8%B1%D8%B9%D8%AF/AajtxD3m,,,,,0,0,0
"واحد ۱۴۵ فوق العاده در خیابان مولوی۴۰,۰۰۰,۰۰۰ توماننیم ساعت پیش۱",https://divar.ir/v/%D9%88%D8%A7%D8%AD%D8%AF-%DB%B1%DB%B4%DB%B5-%D9%81%D9%88%D9%82-%D8%A7%D9%84%D8%B9%D8%A7%D8%AF%D9%87-%D8%AF%D8%B1-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86-%D9%85%D9%88%D9%84%D9%88%DB%8C/AaJaxD6Y,,,,,0,0,0
