title,link,price,area,rooms,year,elevator,parking,storage
"فروش و معاوضه 10قصب زمین (زیر قیمت منطقه)۱,۸۳۰,۰۰۰,۰۰۰ تومانپله شدهپله",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%88-%D9%85%D8%B9%D8%A7%D9%88%D8%B6%D9%87-10%D9%82%D8%B5%D8%A8-%D8%B2%D9%85%DB%8C%D9%86-%D8%B2%DB%8C%D8%B1-%D9%82%DB%8C%D9%85%D8%AA-%D9%85%D9%86%D8%B7%D9%82%D9%87/AayB3QGr,,,,,0,0,0
"زمین ۹ قصبی انتهای غدیر دو۴,۵۰۰,۰۰۰,۰۰۰ تومانپله شدهپله",https://divar.ir/v/%D8%B2%D9%85%DB%8C%D9%86-%DB%B9-%D9%82%D8%B5%D8%A8%DB%8C-%D8%A7%D9%86%D8%AA%D9%87%D8%A7%DB%8C-%D8%BA%D8%AF%DB%8C%D8%B1-%D8%AF%D9%88/AayN2_Ak,,,,,0,0,0
"زمین سیدی۶۵۰,۰۰۰,۰۰۰ توماندقایقی پیش۱",https://divar.ir/v/%D8%B2%D9%85%DB%8C%D9%86-%D8%B3%DB%8C%D8%AF%DB%8C/AaJuNXjl,,,,,0,0,0
"اپارتمان۶۵متری۱خوابه شهرک مطهری۱,۶۰۰,۰۰۰,۰۰۰ تومانآژانس مشاورین املاک نیکزاد۸",https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86%DB%B6%DB%B5%D9%85%D8%AA%D8%B1%DB%8C%DB%B1%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B4%D9%87%D8%B1%DA%A9-%D9%85%D8%B7%D9%87%D8%B1%DB%8C/AaJud-bE,,,,,0,0,0
"اجاره خانه باغ ویلایی ۱۰۰ متری ۱ خوابه۱,۲۰۰,۰۰۰ توماندقایقی پیش۱۰",https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%AE%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%D8%BA-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B1%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B1-%D8%AE%D9%88%D8%A7%D8%A8%D9%87/AaJudqyF,,,,,0,0,0
"فروش زمین ۴۸۰ متری۶۰۰,۰۰۰,۰۰۰ توماندقایقی پیش۳",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%B2%D9%85%DB%8C%D9%86-%DB%B4%DB%B8%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C/AaAKsJMS,,,,,0,0,0
"فروش خانه زمین شهرک همت،کازرونی،شهید محمدی،تورطناب۹۵۰,۰۰۰,۰۰۰ توماننردبان شده",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%AE%D8%A7%D9%86%D9%87-%D8%B2%D9%85%DB%8C%D9%86-%D8%B4%D9%87%D8%B1%DA%A9-%D9%87%D9%85%D8%AA-%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86%DB%8C-%D8%B4%D9%87%DB%8C%D8%AF-%D9%85%D8%AD%D9%85%D8%AF%DB%8C-%D8%AA%D9%88%D8%B1%D8%B7%D9%86%D8%A7%D8%A8/Aa21hH4x,,,,,0,0,0
"آپارتمان ۱۰۰ متری بلوار جمهوری خوارزمی۳,۶۵۰,۰۰۰,۰۰۰ توماننردبان شدهمشاور حجت سالارکریمی۱",https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C-%D8%AE%D9%88%D8%A7%D8%B1%D8%B2%D9%85%DB%8C/AaEyHhNZ,,,,,0,0,0
"فروش آپارتمان ۱۴۰ متری ۳ خوابه بلوار جمهوری۳,۸۵۰,۰۰۰,۰۰۰ توماننردبان شدهمشاور حجت سالارکریمی۱",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B4%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B3-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C/Aa7dDqWl,,,,,0,0,0
"آپارتمان ۱۱۰متری کوی فرهنگیان۶,۶۰۰,۰۰۰,۰۰۰ توماننردبان شدهمشاورین املاک هوشنگ مرادی۱",https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B1%DB%B0%D9%85%D8%AA%D8%B1%DB%8C-%DA%A9%D9%88%DB%8C-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C%D8%A7%D9%86/Aa99PclK,,,,,0,0,0
